Installation,Type,Source,Indicator,Value,Resolution
VALLE DE LA LUNA II,Raw,ERA5-Land,mbe,-0.022836760662666968,Hourly
ANDES SOLAR,Raw,ERA5-Land,rmse,0.2241183031588083,Hourly
BELLAVISTA,Raw,ERA5-Land,rmse,0.23434947718311025,Hourly
CARRERA PINTO ETAPA I,Raw,ERA5-Land,rmse,0.2958603784541416,Hourly
CHANARES,Raw,ERA5-Land,rmse,0.2349894894296296,Hourly
CONEJO SOLAR,Raw,ERA5-Land,rmse,0.2682710982888281,Hourly
CORDILLERILLA,Raw,ERA5-Land,rmse,0.21838575586976133,Hourly
EL DIVISADERO,Raw,ERA5-Land,rmse,0.2855473960265121,Hourly
FV BOLERO,Raw,ERA5-Land,rmse,0.21892504081960346,Hourly
LA CHAPEANA,Raw,ERA5-Land,rmse,0.2197229899282381,Hourly
LA QUINTA SOLAR,Raw,ERA5-Land,rmse,0.22920960375530014,Hourly
LALACKAMA,Raw,ERA5-Land,rmse,0.2492752399228253,Hourly
LALACKAMA 2,Raw,ERA5-Land,rmse,0.2534210406415427,Hourly
LAS ARAUCARIAS,Raw,ERA5-Land,rmse,0.19837964993411109,Hourly
LAS MOLLACAS,Raw,ERA5-Land,rmse,0.17074727417227129,Hourly
LAS TURCAS,Raw,ERA5-Land,rmse,0.25074081502604817,Hourly
LOS PUQUIOS,Raw,ERA5-Land,rmse,0.2063702493929054,Hourly
LUNA DEL NORTE,Raw,ERA5-Land,rmse,0.1173825278134357,Hourly
LUZ DEL NORTE,Raw,ERA5-Land,rmse,0.27822901119677723,Hourly
MARIA ELENA FV,Raw,ERA5-Land,rmse,0.22380965689277527,Hourly
PAMPA SOLAR NORTE,Raw,ERA5-Land,rmse,0.26741993825846394,Hourly
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,rmse,0.20364499068487416,Hourly
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,rmse,0.236856757753868,Hourly
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,rmse,0.2239664658822074,Hourly
PFV LAGUNILLA,Raw,ERA5-Land,rmse,0.2328459436504841,Hourly
PFV LOS LOROS,Raw,ERA5-Land,rmse,0.19989345846943585,Hourly
PILOTO SOLAR CARDONES,Raw,ERA5-Land,rmse,0.3029527296384847,Hourly
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,rmse,0.2507007631069603,Hourly
PMGD PICA PILOT,Raw,ERA5-Land,rmse,0.4380752023333017,Hourly
PUERTO SECO SOLAR,Raw,ERA5-Land,rmse,0.30475091381847985,Hourly
PV SALVADOR,Raw,ERA5-Land,rmse,0.2554315863641036,Hourly
QUILAPILUN,Raw,ERA5-Land,rmse,0.21597548228565025,Hourly
SAN FRANCISCO SOLAR,Raw,ERA5-Land,rmse,0.2309296184321271,Hourly
SANTA JULIA,Raw,ERA5-Land,rmse,0.22396897368059931,Hourly
SDGX01,Raw,ERA5-Land,rmse,0.17061684437415234,Hourly
SOL DEL NORTE,Raw,ERA5-Land,rmse,0.11849611658977505,Hourly
SOLAR ANTAY,Raw,ERA5-Land,rmse,0.16042456436644234,Hourly
SOLAR CHUCHINI,Raw,ERA5-Land,rmse,0.12645293428795013,Hourly
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,rmse,0.23567308816146476,Hourly
SOLAR EL AGUILA I,Raw,ERA5-Land,rmse,0.16064853812250754,Hourly
SOLAR EL ROMERO,Raw,ERA5-Land,rmse,0.2407712421183435,Hourly
SOLAR ESPERANZA,Raw,ERA5-Land,rmse,0.13546103310912752,Hourly
SOLAR HORMIGA,Raw,ERA5-Land,rmse,0.18127014942912761,Hourly
SOLAR JAMA 1,Raw,ERA5-Land,rmse,0.2696516198321891,Hourly
SOLAR JAMA 2,Raw,ERA5-Land,rmse,0.24097230265892686,Hourly
SOLAR JAVIERA,Raw,ERA5-Land,rmse,0.2470044688800917,Hourly
SOLAR LA SILLA,Raw,ERA5-Land,rmse,0.22479613356074304,Hourly
SOLAR LAS TERRAZAS,Raw,ERA5-Land,rmse,0.2746083538489501,Hourly
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,rmse,0.2266946960516873,Hourly
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,rmse,0.1155275085249886,Hourly
SOLAR SAN ANDRES,Raw,ERA5-Land,rmse,0.2626718073850109,Hourly
SOLAR SANTA CECILIA,Raw,ERA5-Land,rmse,0.1323781810975676,Hourly
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,rmse,0.2990295009726836,Hourly
SPS LA HUAYCA,Raw,ERA5-Land,rmse,0.08422149182946907,Hourly
