Installation,Type,Source,Indicator,Value,Resolution,set,Set
SOLAR HORMIGA,Raw,ERA5-Land,mbe,0.06519427695251095,Hourly,all,All
SOLAR JAMA 1,Raw,ERA5-Land,mbe,-0.16312443147331404,Hourly,subset_1,S1
SOLAR JAMA 2,Raw,ERA5-Land,mbe,-0.11871416528630085,Hourly,subset_1,S1
SOLAR JAVIERA,Raw,ERA5-Land,mbe,0.02366647755117797,Hourly,all,All
SOLAR LA SILLA,Raw,ERA5-Land,mbe,-0.062125427009821516,Hourly,all,All
SOLAR LAS TERRAZAS,Raw,ERA5-Land,mbe,0.08542328409799127,Hourly,all,All
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,mbe,-0.05170415057562158,Hourly,all,All
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,mbe,0.019956235553918983,Hourly,subset_2,S2
SOLAR SAN ANDRES,Raw,ERA5-Land,mbe,0.08738982017115463,Hourly,all,All
SOLAR SANTA CECILIA,Raw,ERA5-Land,mbe,0.008426535922134276,Hourly,subset_2,S2
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,mbe,0.1242575287913791,Hourly,all,All
SPS LA HUAYCA,Raw,ERA5-Land,mbe,0.004087019410476045,Hourly,subset_2,S2
TAMBO REAL,Raw,ERA5-Land,mbe,0.0754456994796882,Hourly,all,All
TILTIL SOLAR,Raw,ERA5-Land,mbe,-0.049999919015943216,Hourly,subset_1,S1
URIBE SOLAR,Raw,ERA5-Land,mbe,-0.17086388685823586,Hourly,subset_1,S1
VALLE DE LA LUNA II,Raw,ERA5-Land,mbe,-0.022836760662666968,Hourly,subset_1,S1
ANDES SOLAR,Raw,ERA5-Land,rmse,0.2241183031588083,Hourly,subset_1,S1
BELLAVISTA,Raw,ERA5-Land,rmse,0.23434947718311025,Hourly,all,All
CARRERA PINTO ETAPA I,Raw,ERA5-Land,rmse,0.2958603784541416,Hourly,all,All
CHANARES,Raw,ERA5-Land,rmse,0.2349894894296296,Hourly,all,All
CONEJO SOLAR,Raw,ERA5-Land,rmse,0.2682710982888281,Hourly,all,All
CORDILLERILLA,Raw,ERA5-Land,rmse,0.21838575586976133,Hourly,all,All
EL DIVISADERO,Raw,ERA5-Land,rmse,0.2855473960265121,Hourly,all,All
FV BOLERO,Raw,ERA5-Land,rmse,0.21892504081960346,Hourly,all,All
LA CHAPEANA,Raw,ERA5-Land,rmse,0.2197229899282381,Hourly,subset_1,S1
LA QUINTA SOLAR,Raw,ERA5-Land,rmse,0.22920960375530014,Hourly,subset_1,S1
LALACKAMA,Raw,ERA5-Land,rmse,0.2492752399228253,Hourly,subset_1,S1
LALACKAMA 2,Raw,ERA5-Land,rmse,0.2534210406415427,Hourly,subset_1,S1
LAS ARAUCARIAS,Raw,ERA5-Land,rmse,0.19837964993411109,Hourly,subset_1,S1
LAS MOLLACAS,Raw,ERA5-Land,rmse,0.17074727417227129,Hourly,subset_2,S2
LAS TURCAS,Raw,ERA5-Land,rmse,0.25074081502604817,Hourly,all,All
LOS PUQUIOS,Raw,ERA5-Land,rmse,0.2063702493929054,Hourly,all,All
